Place,2020 Total Population,,,
Maine,1362359,,,
Androscoggin County,111139,,,
Aroostook County,67105,,,
Cumberland County,303069,,,
Franklin County,29456,,,
Hancock County,55478,,,
Kennebec County,123642,,,
Knox County,40607,,,
Lincoln County,35237,,,
Oxford County,57777,,,
Penobscot County,152199,,,
Piscataquis County,16800,,,
Sagadahoc County,36699,,,
Somerset County,50477,,,
Waldo County,39607,,,
Washington County,31095,,,
York County,211972,,,
Auburn city,24061,,,
Durham town,4173,,,
Greene town,4376,,,
Leeds town,2262,,,
Lewiston city,37121,,,
Lisbon town,9711,,,
Livermore town,2127,,,
Livermore Falls town,3060,,,
Mechanic Falls town,3107,,,
Minot town,2766,,,
Poland town,5906,,,
Sabattus town,5044,,,
Turner town,5817,,,
Wales town,1608,,,
Allagash town,237,,,
Amity town,253,,,
Ashland town,1202,,,
Bancroft UT,57,,,
Blaine town,667,,,
Bridgewater town,532,,,
Caribou city,7396,,,
Castle Hill town,373,,,
Caswell town,293,,,
Central Aroostook UT,164,,,
Chapman town,491,,,
Connor UT,418,,,
Crystal town,248,,,
Cyr plantation,78,,,
Dyer Brook town,215,,,
Eagle Lake town,772,,,
Easton town,1320,,,
Fort Fairfield town,3322,,,
Fort Kent town,4067,,,
Frenchville town,1052,,,
Garfield plantation,79,,,
Glenwood plantation,5,,,
Grand Isle town,366,,,
Hamlin town,166,,,
Hammond town,91,,,
Haynesville town,97,,,
Hersey town,73,,,
Hodgdon town,1290,,,
Houlton town,6055,,,
Island Falls town,758,,,
Limestone town,1526,,,
Linneus town,947,,,
Littleton town,997,,,
Ludlow town,434,,,
Macwahoc plantation,62,,,
Madawaska town,3867,,,
Mapleton town,1886,,,
Mars Hill town,1360,,,
Masardis town,204,,,
Merrill town,208,,,
Monticello town,737,,,
Moro plantation,44,,,
Nashville plantation,27,,,
New Canada town,310,,,
New Limerick town,574,,,
New Sweden town,577,,,
Northwest Aroostook UT,12,,,
Oakfield town,661,,,
Orient town,156,,,
Perham town,371,,,
Portage Lake town,359,,,
Presque Isle city,8797,,,
Reed plantation,129,,,
St. Agatha town,730,,,
St. Francis town,438,,,
St. John plantation,263,,,
Sherman town,815,,,
Smyrna town,439,,,
